user,term,time
82,Hypothesis Testing,9/10/15 0:16
82,Convex Optimization,9/10/15 0:16
82,Graph Database,9/10/15 0:16
82,Key-Value Store,9/10/15 0:16
82,Relational Database,9/10/15 0:16
82,Set Theory,9/10/15 0:16
82,Linear Algebra,9/10/15 0:16
82,Statistics,9/10/15 0:16
82,Algorithm Design,9/10/15 0:16
82,Unit Testing,9/10/15 0:16
82,Communication Skills,9/10/15 0:16
82,Domain Expertise,9/10/15 0:16
82,Bash,9/10/15 0:16
83,Scikit-Learn,9/9/15 23:19
83,Data Engineering,9/9/15 23:19
83,Algorithms,9/9/15 23:19
83,R,9/9/15 23:19
83,Python,9/9/15 23:19
83,SQL,9/9/15 23:19
83,Data Science Studio,9/9/15 23:19
83,MongoDB,9/9/15 23:19
83,Predictive Analytics,9/9/15 23:19
83,Pandas,9/9/15 23:19
84,Docker,9/9/15 19:11
84,Unix,9/9/15 19:11
84,Python,9/9/15 19:11
84,Data Engineering,9/9/15 19:11
84,MySQL,9/9/15 19:11
84,Elasticsearch,9/9/15 19:11
84,Kibana,9/9/15 19:11
84,PostgreSQL,9/9/15 19:11
84,Neo4j,9/9/15 19:11
84,D3,9/9/15 19:11
84,Celery,9/9/15 19:11
84,Pandas,9/9/15 19:11
85,Data Visualization,9/9/15 19:11
85,Sampling Statistics,9/9/15 19:11
85,Sample Design,9/9/15 19:11
85,Association Rule Mining,9/9/15 19:11
85,Anomaly Detection,9/9/15 19:11
85,Clustering,9/9/15 19:11
85,Classification,9/9/15 19:11
85,Regression,9/9/15 19:11
85,Social Network Analysis,9/9/15 19:11
85,Probability,9/9/15 19:11
34,DataLog,9/9/15 19:03
34,SQL,9/9/15 19:03
34,NetworkX,9/9/15 19:03
34,NLTK,9/9/15 19:03
86,Impala,9/9/15 18:59
86,NLTK,9/9/15 18:59
86,Python,9/9/15 18:59
86,Unix,9/9/15 18:59
86,Spark,9/9/15 18:53
87,NoSQL,9/9/15 18:53
87,Distributed Search,9/9/15 18:53
87,Spark,9/9/15 18:53
87,Hadoop,9/9/15 18:53
81,Neural Networks,9/9/15 18:48
81,Probability,9/9/15 18:48
81,Random Forest,9/9/15 18:48
81,NoSQL,9/9/15 18:48
81,MapReduce,9/9/15 18:48
81,Clustering,9/9/15 18:47
81,Regression,9/9/15 18:47
81,Classification,9/9/15 18:47
81,Scikit-Learn,9/9/15 18:47
81,NLTK,9/9/15 18:28
81,Natural Language Processing,9/9/15 18:28
81,Pandas,9/9/15 18:28
81,Python,9/9/15 18:28
81,Machine Learning,9/9/15 18:28
81,Statistics,9/9/15 18:28
81,Statistics,9/9/15 18:26
81,Data Wrangling,9/9/15 18:26
81,SQL,9/9/15 18:26
81,Machine Learning,9/9/15 18:26
81,Data Visualization,9/9/15 18:26
81,R,9/9/15 18:26
81,Python,9/9/15 18:26
34,Tableau,9/9/15 18:08
34,D3,9/9/15 18:08
34,Bokeh,9/9/15 18:08
34,iPython Notebook,9/9/15 18:08
34,Neural Networks,9/9/15 18:08
34,Celery,9/9/15 18:08
34,Hadoop,9/9/15 18:08
34,Spark,9/9/15 18:08
34,Pandas,9/9/15 18:08
34,Maximum Entropy,9/9/15 18:08
34,Scikit-Learn,9/9/15 18:08
34,Python,9/9/15 18:08
